"","Estimate","Std. Error","t value","Pr(>t)"
"mean.forest.prediction",0.753528176286418,2.77519899802253,0.271522214019011,0.393002562576677
"differential.forest.prediction",0.751746027881844,0.397025126437325,1.89344698313575,0.0291896425976544
