"","x"
"1",0.0749489760284279
"2",0.1334731146745
"3",0.12711144616181
"4",0.0578069649341823
"5",0.175803358922701
"6",0.0733518414103102
"7",0.0724681521321193
"8",0.0718263552546719
"9",0.0634890695103542
"10",0.106261978348561
"11",0.104783534892823
"12",0.15649407800743
"13",0.0880273463144634
"14",0.133098006596846
"15",0.219010676336482
"16",0.0539196676870836
"17",0.0974630135463167
"18",0.166398729276553
"19",0.0719979502539246
"20",0.071448345087316
"21",0.125038821893252
"22",0.1274982591179
"23",0.100564706267399
"24",0.0924644356393868
"25",0.0855642890617635
"26",0.178130298661954
"27",0.0651465863894153
"28",0.116310253179402
"29",0.0776372984281841
"30",0.0711294844200133
"31",0.123925794922075
"32",0.102525965976599
"33",0.078073037551368
"34",0.101625685925319
"35",0.0722762255685467
"36",0.0732294248693242
"37",0.0794703537334755
"38",0.0839150890490473
"39",0.0592896596119186
"40",0.116224370749982
"41",0.0767025544112235
"42",0.0740644775250432
"43",0.124327408378349
"44",0.0793506154983557
"45",0.120729554147809
"46",0.0636564587355109
"47",0.0605449397804645
"48",0.145257343843365
"49",0.179599080434375
"50",0.0772251072582633
"51",0.0649888805340175
"52",0.0636334567484693
"53",0.0661024452125534
"54",0.0658487039081815
"55",0.0795016448462685
"56",0.0665944802650754
"57",0.0909929093556893
"58",0.0562268271146828
"59",0.072810086862543
"60",0.110602236734407
"61",0.089483358763323
"62",0.0769746254478722
"63",0.150422182484009
"64",0.0572170521581277
"65",0.118506141698035
"66",0.12447296978799
"67",0.137947858309484
"68",0.0863162641974497
"69",0.13111207226424
"70",0.0874251592305254
"71",0.0590584627778021
"72",0.152167012595529
"73",0.0930545498667998
"74",0.0654616854026234
"75",0.0676255249218258
"76",0.0814653497270491
"77",0.0975986069914733
"78",0.0884523967087129
"79",0.0928481297911906
"80",0.168295511456176
"81",0.136298003542313
"82",0.0727918297116884
"83",0.14589092732485
"84",0.100887352592803
"85",0.0714455819172285
"86",0.11435070471522
"87",0.0498061737667114
"88",0.0695380839998373
"89",0.073640437175729
"90",0.0849616256422422
"91",0.0990593271450565
"92",0.0573385190302668
"93",0.066996557068183
"94",0.0672709943877594
"95",0.131158037416369
"96",0.0670282941896988
"97",0.154651440781867
"98",0.0777417410346741
"99",0.139131435735453
"100",0.068645379428597
"101",0.058546022276982
"102",0.108280535531097
"103",0.0805132650947835
"104",0.0788412556922996
"105",0.193920893367179
"106",0.127205597860903
"107",0.149354362808136
"108",0.11970883871037
"109",0.0826936162969293
"110",0.122378765666763
"111",0.138458716553368
"112",0.0720969634422018
"113",0.158694706744851
"114",0.0959916451106726
"115",0.0797466236836687
"116",0.115190091497163
"117",0.0898979016901045
"118",0.0919578622815086
"119",0.042821997201068
"120",0.0882869819696127
"121",0.0891467993363946
"122",0.080627224223173
"123",0.162974424929277
"124",0.0580265297632048
"125",0.0793277321949488
"126",0.0804632620743919
"127",0.0672392582365556
"128",0.0971750331787388
"129",0.129002765972837
"130",0.0864223719227186
"131",0.144852214075381
"132",0.0553593134115236
"133",0.0894301587865357
"134",0.0743744505618293
"135",0.0667614478269514
"136",0.0883647107946586
"137",0.0540939283582746
"138",0.124537473825016
"139",0.123568078231323
"140",0.09441623803717
"141",0.126987296458465
"142",0.200350288077455
"143",0.176584048888802
"144",0.094106813834099
"145",0.0923798010786507
"146",0.0856807720376985
"147",0.0728346287163332
"148",0.0670006122028848
"149",0.0679171500181139
"150",0.101684830436463
"151",0.151669742349189
"152",0.23857227499971
"153",0.0742584131433162
"154",0.152200316355384
"155",0.0702007160320971
"156",0.0823838475939135
"157",0.124784942419885
"158",0.120096617205902
"159",0.114533918808811
"160",0.123076733946477
"161",0.0594132012608672
"162",0.141958605089584
"163",0.160592351220698
"164",0.0663342278970072
"165",0.181251590355557
"166",0.160841381813645
"167",0.119288863062797
"168",0.097647473832701
"169",0.071408155417905
"170",0.1476569444947
"171",0.0874685792390287
"172",0.0615786278472563
"173",0.103999837975695
"174",0.11813829600884
"175",0.124545466216212
"176",0.0889243656916094
"177",0.17927117635341
"178",0.0638462367818222
"179",0.0801596272977334
"180",0.0724360571659904
"181",0.0794862065484989
"182",0.0692748679397505
"183",0.04835505187663
"184",0.067982385876088
"185",0.0580892584621483
"186",0.144639143316795
"187",0.188693627458421
"188",0.0572883872854512
"189",0.0748176646404741
"190",0.15663874848646
"191",0.112922800276915
"192",0.0558642245087949
"193",0.131620043612752
"194",0.0997127013285432
"195",0.102926907478025
"196",0.0859359733812261
"197",0.0816802032241297
"198",0.112095998045653
"199",0.182063023640259
"200",0.0683660597522737
"201",0.101438350530396
"202",0.063941369770567
"203",0.11335103761926
"204",0.16857492556298
"205",0.0668952959801966
"206",0.0537205109582354
"207",0.0708542746793283
"208",0.141144541856885
"209",0.0979851848987056
"210",0.0596633844272533
"211",0.0798456828211792
"212",0.111898433801072
"213",0.109654271470022
"214",0.0801255644746477
"215",0.115524689977686
"216",0.0926619619623822
"217",0.129922456014858
"218",0.160595705280702
"219",0.16988681728608
"220",0.0965077553586935
"221",0.0966705623160038
"222",0.101813862908085
"223",0.147140582204408
"224",0.129294336040901
"225",0.0949138672995102
"226",0.0989435928464839
"227",0.0936561907421893
"228",0.156030222581586
"229",0.0680545051657346
"230",0.0816516745168325
"231",0.0740596913912616
"232",0.0842426493814814
"233",0.0828458406018882
