"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1743,1068.86307601536,NA,NA,NA,NA
"2",1729,1060.52492194501,14,8.33815407035058,0.970992766298901,0.480860189764428
