"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1733,1061.60049912667,NA,NA,NA,NA
"2",1729,1060.52492194501,4,1.07557718166368,0.438385017790493,0.780947831770808
