"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1744,1068.9828114319,NA,NA,NA,NA
"2",1729,1060.52492194501,15,8.45788948688642,0.919273755868406,0.5418198755815
