"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1734,1062.54416468076,NA,NA,NA,NA
"2",1729,1060.52492194501,5,2.01924273574741,0.65840427091598,0.655106030891139
