"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1736,1063.27554332041,NA,NA,NA,NA
"2",1729,1060.52492194501,7,2.75062137539612,0.640629433278024,0.722514091480535
