"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1735,1063.17451574119,NA,NA,NA,NA
"2",1729,1060.52492194501,6,2.64959379617608,0.719949712133551,0.633552163117938
