"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1739,1063.76548813512,NA,NA,NA,NA
"2",1729,1060.52492194501,10,3.24056619010639,0.528317517745658,0.871177494793291
