"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1741,1065.9874504627,NA,NA,NA,NA
"2",1729,1060.52492194501,12,5.46252851769327,0.742141274543698,0.710725460739755
