"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1755,1087.61084946296,NA,NA,NA,NA
"2",1729,1060.52492194501,26,27.0859275179507,1.69841758799999,0.0154718406628856
