"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1751,1082.92363133265,NA,NA,NA,NA
"2",1729,1060.52492194501,22,22.398709387644,1.65987134937815,0.0278763060334829
