"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1754,1086.68133656324,NA,NA,NA,NA
"2",1729,1060.52492194501,25,26.1564146182354,1.70573797707601,0.0162507080400776
