"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1746,1070.1969444129,NA,NA,NA,NA
"2",1729,1060.52492194501,17,9.67202246789498,0.927561020848634,0.540548134578076
