"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1750,1079.89235822307,NA,NA,NA,NA
"2",1729,1060.52492194501,21,19.3674362780644,1.50358143773698,0.0663078633227474
