"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1742,1066.09758214856,NA,NA,NA,NA
"2",1729,1060.52492194501,13,5.57266020354677,0.698865054215242,0.76609364512786
