"","Res.Df","RSS","Df","Sum of Sq","F","Pr(>F)"
"1",1745,1069.10855118732,NA,NA,NA,NA
"2",1729,1060.52492194501,16,8.58362924230869,0.874631435625126,0.599152212363142
