"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",0.90427088636906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.56001106297732,0.678052792818882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.484082656386244,0.585684378479469,0.790573925495967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0.440955543489105,0.542117235822672,0.711656882147754,0.947033479708979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.386312746418809,0.493190404396898,0.576405261242888,0.918824922044238,0.98247499008094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0.37006032878999,0.476939334251915,0.519356004353102,0.897233707887543,0.961146849854366,0.961728745564991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",0.238284716028772,0.319789240254097,0.233697728299746,0.55759801897892,0.577345345941912,0.401310347258883,0.362699854993014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.374110293855962,0.474386586445932,0.561658281309336,0.858577240660426,0.910443160395553,0.894078530844587,0.911219953703487,0.586452298853661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.292341127611605,0.374465609883509,0.401785994296616,0.648696957391575,0.67805148982165,0.61194294915181,0.611245383827022,0.96711534247083,0.717002274282274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.239117607916915,0.322067132861714,0.221189425936326,0.563701120988306,0.583575545288426,0.38306919926404,0.330866032453751,0.965074145914437,0.590338598896526,0.989059496275404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",0.325787679144754,0.404134965016024,0.480808655782341,0.67671938609492,0.705843818692831,0.670860909666981,0.675509672676745,0.998652577734991,0.746446323216713,0.976447859589308,0.980796375904987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",0.309581811963545,0.387069500860021,0.449849290282981,0.651600576637366,0.679479180242725,0.637661027994526,0.640995697248383,0.974911737705723,0.717431999998345,0.955411643129532,0.955886061289251,0.98213363043628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",0.185373491388536,0.258937281488053,0.0943229053909454,0.425069342281707,0.424991200266486,0.127870067633986,0.0494838107843061,0.772378261052803,0.373250396461905,0.828513032839511,0.694756148441644,0.899922402217692,0.921195378761496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.254597007591927,0.326587880521157,0.341239431793224,0.551782566383576,0.573065289500231,0.506501795984086,0.504118204058592,0.856282261425698,0.59729429077761,0.854469397531913,0.832778613724025,0.896290910155099,0.912911765463727,0.959337523965919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",0.191392166207935,0.261335632163244,0.162714251656229,0.434907145704522,0.442371617588365,0.271104002721875,0.238788788451332,0.746491793075489,0.427126516873141,0.784929970692731,0.70140707148047,0.853847046549816,0.871772194968161,0.88145854593535,0.974431036779253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",0.16633981268228,0.234736113937813,0.074180356041629,0.372599450200323,0.367172443280355,0.0959872647008802,0.0375030212931724,0.641741655314807,0.306975228398382,0.744114784180874,0.558172484115475,0.834052350901428,0.852356031391211,0.75296276884816,0.963429583206993,0.986366286147527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",0.194172502428891,0.262162155378609,0.189909110715708,0.437092644673208,0.446794348985914,0.310941271031436,0.290245254179685,0.729997431170355,0.441263901399817,0.763496770095933,0.692201018299874,0.830428551221776,0.846901458218751,0.845180993904818,0.942173407069589,0.953911934113403,0.955395437338307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",0.178005611796237,0.241197050316769,0.171259539449693,0.395698918228003,0.40263239956256,0.277237069037285,0.25937738168352,0.648922109031485,0.393692363875925,0.694997204060141,0.612355260170023,0.769577793677898,0.783754958937507,0.742308771277986,0.871125521549858,0.859204215290881,0.843482450992631,0.910368525478675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.143453991386199,0.201344020372579,0.0920969731120724,0.312529065851757,0.309194080331115,0.147678628311063,0.120200439171307,0.506380671752292,0.274715819955124,0.600438651096673,0.457039734433995,0.699662166311142,0.711706258650553,0.569497088990152,0.797108309817093,0.746901362071343,0.691453002159738,0.816444563364246,0.92037078694863,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",0.0994163808881614,0.147909752111892,0.0176393882903437,0.192686825035102,0.173838740997611,0.0133845736714966,0.00222003173938936,0.229877963065415,0.105072841004621,0.434493850679772,0.158942778834928,0.579454776682845,0.586334316496195,0.132944264118359,0.661090533582601,0.502801321386021,0.265292150297558,0.621082689829988,0.751898054821466,0.806632037879211,NA,NA,NA,NA,NA,NA,NA,NA
"22",0.0937529331019952,0.140941221105819,0.0111862951162191,0.175840891513537,0.154587040014493,0.0048503778196662,0.000153298078383546,0.180180586663667,0.0816962459767807,0.409079864691283,0.1072754914574,0.56278719369641,0.568773202881629,0.0442791679116225,0.641676139622159,0.457254407311027,0.151931841699802,0.588489987538653,0.72552864513296,0.772848741670914,0.956164688569389,NA,NA,NA,NA,NA,NA,NA
"23",0.0952951416576078,0.142210129276936,0.0166653521805321,0.182652374402749,0.164024032111154,0.0131511243116548,0.00254934738009333,0.213864758045542,0.0982735532835736,0.413454090015242,0.148034746643567,0.559191993786721,0.565223607299977,0.126680970156003,0.636495434888295,0.471919123668409,0.2455347449486,0.589434844382536,0.718335496502341,0.764230183346576,0.923538501144756,0.950752609008835,NA,NA,NA,NA,NA,NA
