"","mean","se"
"Sample_ATE_Loss",0.52749439331485,0.0272441318685026
"Causal_Tree_Loss",0.54265543383603,0.0278385077172741
"Causal_Forest_Loss",0.522895374885946,0.0271222051368912
"X_Learner_Loss",0.523729078562242,0.0272011966853561
